fov,volume,center_x,center_y,min_x,max_x,min_y,max_y
316185979531189382876779845289900450466,16,811.054,374.512,3610.28,368.183,380.84,3603.63,3616.93
27317695793593946090865541980248248859,20,1334.25,291.766,4451.29,283.224,300.309,4442.97,4459.62
273272376949204991292088165481237320950,20,1474.41,382.216,4455.29,375.132,389.301,4442.53,4468.04
279342370088268275678195428548506121218,20,472.704,185.818,4459.07,182.028,189.609,4452.15,4465.99
288107209525280817033755786178887286856,20,1633.05,354.028,4422.46,344.784,363.273,4411.86,4433.05
300717041579233034927153422027737803808,20,904.715,332.428,4428.24,323.616,341.241,4418.88,4437.59
32001683313131681450507487401513636204,20,1276.57,343.768,4462.58,335.82,351.717,4455.49,4469.66
49517220556358860230403034434909625956,20,1666.88,308.074,4510.75,296.616,319.533,4497.72,4523.77
49935167490146341325551810421374462059,20,1059.75,364.018,4479.97,355.692,372.345,4473.85,4486.08
55865054076294497379979464333167696264,20,219.865,346.036,4440.55,342.516,349.557,4436.38,4444.72
72529620212445673813193424395246479589,20,1051.24,368.554,4464.36,361.308,375.801,4458.19,4470.53
323354967520607265470579427892778809462,16,1233.65,359.176,3728.49,350.255,368.096,3717.57,3739.4
330913659038608905437341313983434401003,16,453.215,299.506,3678,294.851,304.16,3673.4,3682.6
51771291751558067374291351656300681573,16,685.772,288.49,3636.69,282.323,294.656,3630.09,3643.28
55398367828329202919135816349054606150,16,789.199,366.142,3797.17,357.491,374.792,3790.79,3803.56
61948135844389501540062423389711533077,16,588.547,339.412,3655.37,334.055,344.768,3650.28,3660.46
71461676565404092605548592053013956506,16,1678.62,261.166,3631.18,248.627,273.704,3621.88,3640.48
100968499681262981311790189641129514944,17,1632.91,323.422,3976.4,312.179,334.665,3966.67,3986.13
1038866798571357901933621747726851281,17,1260.84,348.964,3816.83,341.555,356.373,3808.99,3824.67
50584986324392207285110689588385665897,15,1037.29,386.871,3415.64,381.52,392.223,3408.18,3423.1
6152311778354223852005374274263046189,15,545.334,316.245,3478.28,307.864,324.625,3472.54,3484.01
66280143497273550653466340064889837853,15,656.426,370.623,3475.36,365.428,375.817,3469.84,3480.88
74463942778856729775611302984567249612,15,866.483,208.353,3507.6,201.7,215.005,3501.16,3514.04
75056876806262430618551222727152973000,15,1769.55,208.353,3523.31,200.836,215.869,3511.86,3534.77
95089102108758513050809720492221363683,15,898.912,352.101,3414.61,345.556,358.645,3407.42,3421.81
101462922533516183140075102594398116309,16,1140.08,349.132,3781.51,340.211,358.052,3772.22,3790.81
170438146875060339540821697263325773900,16,1442,298.21,3714.28,285.239,311.18,3704.28,3724.28
228055049315026132478649235210211613552,16,1796.19,361.228,3669.63,353.063,369.392,3658.92,3680.33
238726209064969084289930489895422779251,16,484.039,340.222,3602.72,335.459,344.984,3596.5,3608.94
244106004086232057853892020667890075126,16,1741.28,271.156,3667.03,256.403,285.908,3653.74,3680.33
254938754673221339274444746993755715188,16,425.309,335.47,3771.85,330.059,340.88,3763.58,3780.12
264137192248005802123071639645869225210,16,1260.76,317.92,3761.8,305.327,330.512,3753.75,3769.86
279843901316277333441832681427216272962,16,1848.27,309.928,3735.51,293.663,326.192,3726.64,3744.37
110422379824904099226767083978095258246,20,1328.11,227.776,4451.73,219.288,236.265,4444.15,4459.3
111797722660068882068179031394363924033,20,1473.9,373.9,4529.27,359.688,388.113,4519.75,4538.78
120906663338578805649484831823116367460,20,957.513,190.678,4485.53,184.404,196.953,4478.39,4492.67
